0,42,54,98,68,63,83,94,55,35,12,63,30,17,97,62,96,26,63,76,91,19,52,42,55,95,8,97,6,18,96,3,46,21,55,88,14,27,65,8,94,93,52,39,40,52,12,94,89,39,38,6,24,92,88,40,89,12,40,8,86,41,66,15,61,91,11,32,33,59,77,24,46,51,97,17,6,58,16,40,84,28,51,28,56,46,60,17,51,72,74,16,67,75,38,93,56,81,4,61
42,0,9,82,30,86,58,34,31,19,30,93,13,72,36,96,65,34,88,48,31,49,79,29,25,54,25,81,18,94,32,72,74,27,62,13,44,8,65,22,96,89,52,14,12,34,88,96,99,35,57,66,76,87,98,84,62,79,63,10,21,52,72,86,24,4,45,66,49,74,82,39,96,95,48,69,32,43,64,25,34,67,32,65,82,54,20,85,21,70,27,11,72,66,44,97,11,87,46,55
54,9,0,84,44,11,54,93,27,28,9,3,86,75,29,10,87,20,4,39,41,33,28,92,25,88,32,4,11,99,24,55,94,85,88,96,48,36,87,9,92,32,79,61,26,17,99,24,74,57,39,54,16,20,50,28,66,61,18,58,34,75,29,36,66,21,71,46,85,31,3,22,27,40,23,57,93,64,74,36,27,21,27,36,16,41,42,37,37,88,10,89,53,92,27,89,62,44,7,97
98,82,84,0,32,45,12,76,81,63,78,46,92,82,42,62,69,17,17,9,50,43,38,91,3,49,44,59,56,56,77,14,67,80,95,30,31,23,72,68,36,47,81,94,97,20,33,80,45,87,57,2,1,56,22,18,51,57,57,37,8,56,85,65,86,86,31,27,2,83,91,57,86,72,66,78,58,7,28,27,19,9,93,58,20,97,20,6,90,60,77,6,40,66,6,62,45,59,9,85
68,30,44,32,0,31,36,19,63,53,54,63,83,94,60,53,96,81,95,66,27,34,66,9,5,51,41,36,52,59,44,35,75,93,25,17,10,82,72,55,63,78,44,96,3,96,80,81,45,40,87,15,65,38,45,11,21,87,15,59,77,42,33,23,43,3,47,45,14,87,68,47,93,26,22,92,42,29,52,33,86,29,70,74,46,2,6,95,21,73,33,65,88,37,61,62,59,64,23,76
63,86,11,45,31,0,21,52,86,86,51,80,9,72,14,25,45,75,95,98,54,77,44,65,98,81,32,5,82,76,6,67,38,91,75,93,83,90,62,51,69,13,92,50,56,50,39,93,13,22,5,27,89,53,48,43,60,27,38,2,81,7,55,25,61,2,7,26,94,65,83,34,47,14,32,64,51,43,52,13,92,34,7,11,58,27,54,17,15,46,85,3,84,70,73,74,12,26,23,22
83,58,54,12,36,21,0,57,75,34,21,35,22,44,74,15,60,93,34,9,21,53,69,79,23,69,46,66,94,77,71,79,76,6,54,51,43,57,59,5,91,74,5,31,17,63,54,3,13,14,79,65,33,55,42,4,59,10,56,7,75,78,90,89,31,9,70,30,82,2,42,8,84,75,48,17,28,83,96,6,3,72,43,56,75,83,94,16,53,98,49,10,40,11,67,72,39,48,6,82
94,34,93,76,19,52,57,0,20,5,91,68,16,17,88,58,27,55,20,47,33,40,93,56,94,69,10,39,20,71,96,35,85,58,29,19,97,95,11,26,77,76,55,23,51,88,34,9,36,92,64,87,2,95,67,25,87,1,96,25,68,72,40,26,58,60,26,55,7,38,12,61,22,86,2,45,45,87,63,3,24,67,87,17,6,27,75,6,94,28,80,66,5,52,98,10,46,20,27,41
55,31,27,81,63,86,75,20,0,59,64,4,76,69,63,18,42,57,22,29,61,4,10,73,65,36,31,1,29,5,57,15,84,36,76,57,99,89,97,30,73,47,79,56,41,82,93,18,52,39,10,53,88,38,8,25,93,83,17,94,7,54,57,68,38,61,15,77,92,72,12,46,78,57,94,6,12,70,26,33,54,38,76,32,73,35,14,71,97,33,98,85,36,26,55,40,20,78,50,89
35,19,28,63,53,86,34,5,59,0,69,28,43,15,22,73,32,67,29,89,67,20,53,4,58,33,88,50,36,58,10,68,3,69,1,50,37,42,56,83,71,95,93,34,29,93,99,78,19,24,14,43,81,53,97,77,1,95,91,84,43,57,93,70,65,18,64,1,48,14,7,67,80,72,18,16,69,66,46,51,98,30,75,79,97,35,62,99,59,31,25,89,61,59,49,13,30,70,79,4
12,30,9,78,54,51,21,91,64,69,0,94,16,70,18,84,66,74,48,20,32,25,65,17,14,8,98,96,83,60,7,96,20,16,59,79,77,10,72,50,41,79,29,39,29,73,23,5,96,82,48,98,18,40,93,36,74,87,40,25,43,41,34,84,19,73,37,44,49,44,19,90,16,85,92,7,56,81,61,66,54,44,82,80,70,26,6,22,83,75,97,83,76,83,11,10,55,92,13,59
63,93,3,46,63,80,35,68,4,28,94,0,30,53,19,23,50,99,58,80,26,94,15,9,99,47,65,2,57,51,67,51,83,19,6,39,72,5,66,63,25,55,23,90,1,76,38,27,74,11,38,3,81,44,58,78,69,65,55,56,69,19,40,12,88,48,52,10,38,55,23,46,2,22,51,64,62,83,36,98,89,91,87,75,94,96,65,32,68,51,59,1,17,72,84,1,87,75,64,80
30,13,86,92,83,9,22,16,76,43,16,30,0,3,19,3,67,26,43,28,63,38,80,73,36,68,97,15,60,55,55,5,33,76,46,34,46,37,78,57,21,37,2,23,91,19,14,25,49,11,51,29,31,72,6,3,50,54,71,67,77,76,57,45,59,42,77,76,67,83,49,13,88,69,10,53,41,61,94,5,22,44,62,80,68,32,36,76,59,64,37,46,7,94,70,47,94,87,50,35
17,72,75,82,94,72,44,17,69,15,70,53,3,0,94,34,23,98,28,85,68,23,90,25,48,52,23,83,78,53,41,6,79,43,92,86,6,95,88,64,1,73,31,9,62,7,23,90,76,64,72,61,28,55,60,28,97,78,2,57,84,63,68,6,77,49,89,82,71,8,21,65,87,82,72,68,87,28,1,72,21,52,64,41,26,14,26,8,97,87,16,68,52,76,31,61,11,36,97,82
97,36,29,42,60,14,74,88,63,22,18,19,19,94,0,14,22,62,98,6,24,32,6,90,92,39,24,2,5,58,44,82,11,29,29,40,82,33,89,34,6,69,30,88,43,72,92,93,23,30,84,61,53,30,30,18,31,10,10,95,58,13,60,5,5,63,73,51,64,27,67,70,7,83,87,57,9,81,86,60,44,2,70,97,18,1,21,1,28,39,18,17,49,1,51,80,4,86,46,88
