0,42,54,98,68,63,83,94,55,35,12,63,30,17,97,62,96,26,63,76,91,19,52,42,55,95,8,97,6,18,96,3,46,21,55,88,14,27,65,8,94,93,52,39,40,52,12,94,89,39
42,0,38,6,24,92,88,40,89,12,40,8,86,41,66,15,61,91,11,32,33,59,77,24,46,51,97,17,6,58,16,40,84,28,51,28,56,46,60,17,51,72,74,16,67,75,38,93,56,81
54,38,0,4,61,9,82,30,86,58,34,31,19,30,93,13,72,36,96,65,34,88,48,31,49,79,29,25,54,25,81,18,94,32,72,74,27,62,13,44,8,65,22,96,89,52,14,12,34,88
98,6,4,0,96,99,35,57,66,76,87,98,84,62,79,63,10,21,52,72,86,24,4,45,66,49,74,82,39,96,95,48,69,32,43,64,25,34,67,32,65,82,54,20,85,21,70,27,11,72
68,24,61,96,0,66,44,97,11,87,46,55,84,44,11,54,93,27,28,9,3,86,75,29,10,87,20,4,39,41,33,28,92,25,88,32,4,11,99,24,55,94,85,88,96,48,36,87,9,92
63,92,9,99,66,0,32,79,61,26,17,99,24,74,57,39,54,16,20,50,28,66,61,18,58,34,75,29,36,66,21,71,46,85,31,3,22,27,40,23,57,93,64,74,36,27,21,27,36,16
83,88,82,35,44,32,0,41,42,37,37,88,10,89,53,92,27,89,62,44,7,97,32,45,12,76,81,63,78,46,92,82,42,62,69,17,17,9,50,43,38,91,3,49,44,59,56,56,77,14
94,40,30,57,97,79,41,0,67,80,95,30,31,23,72,68,36,47,81,94,97,20,33,80,45,87,57,2,1,56,22,18,51,57,57,37,8,56,85,65,86,86,31,27,2,83,91,57,86,72
55,89,86,66,11,61,42,67,0,66,78,58,7,28,27,19,9,93,58,20,97,20,6,90,60,77,6,40,66,6,62,45,59,9,85,31,36,19,63,53,54,63,83,94,60,53,96,81,95,66
35,12,58,76,87,26,37,80,66,0,27,34,66,9,5,51,41,36,52,59,44,35,75,93,25,17,10,82,72,55,63,78,44,96,3,96,80,81,45,40,87,15,65,38,45,11,21,87,15,59
12,40,34,87,46,17,37,95,78,27,0,77,42,33,23,43,3,47,45,14,87,68,47,93,26,22,92,42,29,52,33,86,29,70,74,46,2,6,95,21,73,33,65,88,37,61,62,59,64,23
63,8,31,98,55,99,88,30,58,34,77,0,76,21,52,86,86,51,80,9,72,14,25,45,75,95,98,54,77,44,65,98,81,32,5,82,76,6,67,38,91,75,93,83,90,62,51,69,13,92
30,86,19,84,84,24,10,31,7,66,42,76,0,50,56,50,39,93,13,22,5,27,89,53,48,43,60,27,38,2,81,7,55,25,61,2,7,26,94,65,83,34,47,14,32,64,51,43,52,13
17,41,30,62,44,74,89,23,28,9,33,21,50,0,92,34,7,11,58,27,54,17,15,46,85,3,84,70,73,74,12,26,23,22,57,75,34,21,35,22,44,74,15,60,93,34,9,21,53,69
97,66,93,79,11,57,53,72,27,5,23,52,56,92,0,79,23,69,46,66,94,77,71,79,76,6,54,51,43,57,59,5,91,74,5,31,17,63,54,3,13,14,79,65,33,55,42,4,59,10
62,15,13,63,54,39,92,68,19,51,43,86,50,34,79,0,56,7,75,78,90,89,31,9,70,30,82,2,42,8,84,75,48,17,28,83,96,6,3,72,43,56,75,83,94,16,53,98,49,10
96,61,72,10,93,54,27,36,9,41,3,86,39,7,23,56,0,40,11,67,72,39,48,6,82,20,5,91,68,16,17,88,58,27,55,20,47,33,40,93,56,94,69,10,39,20,71,96,35,85
26,91,36,21,27,16,89,47,93,36,47,51,93,11,69,7,40,0,58,29,19,97,95,11,26,77,76,55,23,51,88,34,9,36,92,64,87,2,95,67,25,87,1,96,25,68,72,40,26,58
63,11,96,52,28,20,62,81,58,52,45,80,13,58,46,75,11,58,0,60,26,55,7,38,12,61,22,86,2,45,45,87,63,3,24,67,87,17,6,27,75,6,94,28,80,66,5,52,98,10
76,32,65,72,9,50,44,94,20,59,14,9,22,27,66,78,67,29,60,0,46,20,27,41,59,64,4,76,69,63,18,42,57,22,29,61,4,10,73,65,36,31,1,29,5,57,15,84,36,76
91,33,34,86,3,28,7,97,97,44,87,72,5,54,94,90,72,19,26,46,0,57,99,89,97,30,73,47,79,56,41,82,93,18,52,39,10,53,88,38,8,25,93,83,17,94,7,54,57,68
19,59,88,24,86,66,97,20,20,35,68,14,27,17,77,89,39,97,55,20,57,0,38,61,15,77,92,72,12,46,78,57,94,6,12,70,26,33,54,38,76,32,73,35,14,71,97,33,98,85
52,77,48,4,75,61,32,33,6,75,47,25,89,15,71,31,48,95,7,27,99,38,0,36,26,55,40,20,78,50,89,69,28,43,15,22,73,32,67,29,89,67,20,53,4,58,33,88,50,36
42,24,31,45,29,18,45,80,90,93,93,45,53,46,79,9,6,11,38,41,89,61,36,0,58,10,68,3,69,1,50,37,42,56,83,71,95,93,34,29,93,99,78,19,24,14,43,81,53,97
55,46,49,66,10,58,12,45,60,25,26,75,48,85,76,70,82,26,12,59,97,15,26,58,0,77,1,95,91,84,43,57,93,70,65,18,64,1,48,14,7,67,80,72,18,16,69,66,46,51
95,51,79,49,87,34,76,87,77,17,22,95,43,3,6,30,20,77,61,64,30,77,55,10,77,0,98,30,75,79,97,35,62,99,59,31,25,89,61,59,49,13,30,70,79,4,94,16,70,18
8,97,29,74,20,75,81,57,6,10,92,98,60,84,54,82,5,76,22,4,73,92,40,68,1,98,0,84,66,74,48,20,32,25,65,17,14,8,98,96,83,60,7,96,20,16,59,79,77,10
97,17,25,82,4,29,63,2,40,82,42,54,27,70,51,2,91,55,86,76,47,72,20,3,95,30,84,0,72,50,41,79,29,39,29,73,23,5,96,82,48,98,18,40,93,36,74,87,40,25
6,6,54,39,39,36,78,1,66,72,29,77,38,73,43,42,68,23,2,69,79,12,78,69,91,75,66,72,0,43,41,34,84,19,73,37,44,49,44,19,90,16,85,92,7,56,81,61,66,54
18,58,25,96,41,66,46,56,6,55,52,44,2,74,57,8,16,51,45,63,56,46,50,1,84,79,74,50,43,0,44,82,80,70,26,6,22,83,75,97,83,76,83,11,10,55,92,13,59,30
